Row Labels,blocked_shot,faceoff,giveaway_takeaway,goal,hit,missed_shot,other,pass,penalty,puck_recovery,shot,zone_entry,zone_exit,Grand Total
395,3,0,11,0,3,6,0,80,2,28,3,13,23,172
396,1,0,1,0,0,0,0,8,0,1,0,6,4,21
397,21,0,58,1,12,13,0,425,4,124,23,110,176,967
398,31,0,104,0,9,22,0,499,4,164,38,154,236,1261
399,26,0,80,0,16,23,0,328,6,99,17,84,185,864
400,0,0,2,0,3,1,0,10,2,7,2,6,6,39
401,56,0,90,4,15,36,0,687,11,155,51,111,223,1439
402,3,1,1,0,0,0,0,12,0,1,1,2,4,25
403,23,0,62,1,7,18,0,411,14,101,25,97,208,967
404,5,0,27,0,5,10,0,152,3,44,11,27,59,343
405,4,19,18,3,1,4,0,56,0,33,15,40,22,215
406,5,36,16,1,0,4,0,56,2,25,7,21,30,203
407,4,0,27,0,4,3,0,72,6,32,6,55,43,252
408,0,0,10,0,2,2,0,24,0,8,5,14,12,77
409,2,31,18,3,3,2,0,92,2,43,13,35,25,269
410,25,218,96,11,16,26,0,404,2,155,53,150,100,1256
411,5,61,39,1,3,5,0,97,4,39,11,42,47,354
412,10,79,68,3,24,18,0,234,3,126,36,148,127,876
413,4,4,9,1,1,0,0,72,1,16,3,22,26,159
414,12,2,83,8,7,27,0,390,8,132,53,156,105,983
415,19,2,71,7,1,14,0,391,1,100,51,144,114,915
416,6,59,28,0,4,6,0,91,2,57,11,40,37,341
417,30,7,120,6,3,27,0,466,1,121,61,230,169,1241
418,1,0,11,0,0,5,0,39,2,12,11,12,7,100
419,6,3,64,3,9,19,0,248,10,76,32,105,91,666
420,1,0,11,0,1,5,0,19,1,15,3,17,8,81
421,4,0,30,1,2,4,0,77,3,31,11,42,26,231
422,6,0,40,3,1,7,0,114,4,55,14,78,62,384
423,18,32,93,3,9,28,0,279,6,104,53,112,73,810
424,25,76,81,2,3,16,1,351,6,110,44,159,109,983
425,2,1,18,1,5,3,0,53,2,19,3,23,23,153
426,12,2,68,3,4,14,0,274,8,80,33,130,95,723
427,0,0,1,0,0,0,0,8,0,8,0,0,0,17
428,0,0,0,0,0,0,0,1,0,0,0,0,0,1
429,0,0,0,0,0,0,0,4,0,0,0,0,0,4
430,0,0,4,0,0,1,0,27,2,9,0,2,1,46
432,25,0,86,1,13,26,0,421,3,136,22,82,175,990
433,7,0,21,0,8,5,0,73,0,27,3,16,42,202
434,0,0,1,0,0,0,0,3,0,1,0,0,2,7
435,15,0,63,2,36,5,0,282,10,106,15,51,118,703
436,9,0,6,0,1,0,0,48,0,6,2,9,14,95
437,31,1,93,1,20,12,0,395,9,125,36,156,304,1183
438,56,0,123,1,2,24,0,644,9,192,51,167,354,1623
439,17,0,67,1,31,11,0,195,4,72,32,65,127,622
440,43,0,75,4,11,21,0,442,3,121,44,118,202,1084
441,16,0,70,1,19,15,0,315,7,102,17,93,161,816
442,26,1,95,2,10,16,0,384,4,86,44,112,105,885
443,26,5,100,7,13,22,0,419,2,158,62,198,152,1164
444,17,1,94,2,28,16,0,259,8,122,51,153,104,855
445,2,0,5,0,2,1,0,19,0,9,3,12,10,63
446,16,115,90,2,6,11,0,311,6,117,28,150,140,992
447,6,0,26,0,4,4,0,37,0,24,12,54,30,197
448,1,0,4,0,0,1,0,8,0,3,2,8,2,29
449,2,2,26,2,4,4,0,77,4,41,13,49,24,248
450,5,38,28,2,8,4,0,96,1,37,15,48,29,311
451,0,0,0,0,0,0,0,0,0,0,1,1,0,2
452,18,8,104,5,9,16,0,318,5,152,57,192,132,1016
453,9,167,82,3,11,18,0,197,4,87,28,129,111,846
454,23,75,96,3,19,19,0,274,6,128,47,154,129,973
455,9,2,68,1,7,14,0,224,4,81,37,101,78,626
456,10,2,83,3,22,8,0,196,7,94,34,106,78,643
457,7,0,88,7,15,9,0,237,3,88,28,141,73,696
458,2,42,25,1,7,1,0,67,2,37,15,37,24,260
459,1,0,22,1,11,5,0,31,4,22,7,32,23,159
460,14,181,145,8,10,19,0,452,4,134,40,200,140,1347
463,0,0,3,0,0,0,0,20,1,16,0,1,1,42
464,25,0,100,0,24,21,0,348,4,144,15,130,221,1032
465,0,0,4,0,0,0,0,5,1,5,1,1,3,20
466,16,0,63,0,6,13,0,288,4,102,25,71,132,720
467,33,0,124,1,29,23,0,354,12,132,24,123,218,1073
468,5,0,17,0,8,5,0,65,2,22,2,25,44,195
469,19,0,44,3,6,16,0,308,4,77,21,63,148,709
470,11,0,46,0,6,15,0,175,2,78,17,80,128,558
471,3,0,1,0,0,1,0,4,0,2,0,1,0,12
472,0,0,4,0,0,2,0,19,1,11,2,3,9,51
473,33,0,79,4,10,15,0,346,6,101,27,78,158,857
474,1,0,14,0,2,2,0,75,0,23,0,8,25,150
475,22,0,89,1,17,16,0,289,3,116,22,125,194,894
476,1,21,23,2,1,1,0,40,2,33,8,30,18,180
477,20,5,112,12,12,23,0,225,7,114,47,167,128,872
478,17,12,101,7,12,33,0,289,6,88,48,152,109,874
479,6,26,29,3,2,7,0,75,3,42,18,61,56,328
480,1,6,17,0,5,4,0,49,0,26,5,20,11,144
481,11,133,83,3,16,10,0,219,8,95,29,139,116,862
482,10,8,61,3,10,10,0,199,5,89,17,114,76,602
483,2,48,16,1,7,1,0,43,2,19,10,43,33,225
484,3,2,23,3,2,5,0,57,1,25,8,35,37,201
485,0,0,2,0,2,0,0,3,1,1,0,2,1,12
486,3,0,13,0,2,3,0,62,0,30,4,30,34,181
487,1,15,21,2,2,1,0,24,2,24,1,29,28,150
488,4,53,33,1,4,6,0,118,1,46,4,44,37,351
